Reference,Value,Datasheet,Footprint,Qty,DNP
8MHz-crystal1,ABM3B-8.000MHZ-B2-T,,Symbol:XTAL_ABM3B-8.000MHZ-B2-T,1,
C1-1nF1,1nF,~,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,
"C2-100nF1,C3-100nF1,C4-100nF1,C5-100nF1,C6-100nF1,C7-100nF1,C8-100nF1,C9-100nF1,C10-100nF1,C13-100nF1,C15-100nF1,C17-100nF1,C21-100nF1",100nF,~,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,13,
C11-3.3nF1,3.3nF,~,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,
"C12-1uF1,C14-1uF1,C17,C20-1uF1",1uF,~,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,4,
"C13-22pF1,C14-22pF1",22pF,~,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,2,
"C14-10uF1,C15-10uF1",10uF,~,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,2,
Electrode-Connection1,Cable-connector B5B-XH-A_LF__SN_,,Connector:JST_B5B-XH-A_LF__SN_,1,
LDO-Regulator1,MCP1700,,Symbol:TO92,1,
"Precision-OP-Amp1,Precision-OP-Amp2",OPA2140AID,,Symbol:SOIC127P599X175-8N,2,
"R2_PULL_10K1,R3_PULL_10K1,R4_PULL_10K1,R7_PULL_10K1,R15,R16",10k,~,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,
"R5.1K1,R5.1K2",5.1Kohms,~,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,
R5_1Kohms1,1k,~,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,
"R7-22ohms1,R8-22ohms1",22ohms,~,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,
R7_PULL_4.7K1,4.7K,~,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,
R200ohms1,200ohms,~,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,
Signal-generator1,AD9833,,Symbol:SOP50P490X110-10N,1,
SPI-Flash1,W25Q32JVSSIQ,W25Q32JVSSIQ,Symbol:SOIC-8_5P28X5P28_WIN,1,
SWD-connector1,SWD,,Symbol:2X10_BOXHEADER,1,
"TP1,TP2,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20",TestPoint_Small,~,-- mixed values --,19,
U1,STM32F303CCT6,,Symbol:QFP50P900X900X160-48N,1,
USB-C-power-supply1,USB-C,,Symbol:HRO_TYPE-C-31-M-12,1,
USB-UART(CP2102)1,CP2102,,Symbol:QFN50P500X500X100-29N,1,
Voltage-Reference1,ADR4533BRZ,https://www.analog.com/media/en/technical-documentation/data-sheets/ADR4520_4525_4530_4533_4540_4550.pdf,Symbol:R_8_ADI,1,
XTAL-25MHz1,ASE-25.000MHZ-LC-T,ASE-25.000MHZ-LC-T,Symbol:CHIP_ASE-24_ABR,1,
